Author Name,Books Amount
Susan Stoker,4
Jayne Ann Krentz,4
Joanne Fluke,4
Jane Green,4
Jessica Sorensen,4
Eve Langlais,4
Eric Rickstad,4
Lincoln Child,3
Shelley Noble,3
Laurann Dohner,3
Amanda Quick,3
Lisa Jackson,3
Penelope Ward and Vi Keeland,3
Sarah McCoy,3
Emma Straub,3
Helena Hunting,3
Mary Higgins Clark and Alafair Burke,3
Carly Phillips,3
R L Mathewson,3
Lori Foster,3
Elle Kennedy,3
Reed Farrel Coleman,3
Ace Atkins,3
James Patterson and Kathryn Fox,3
Grant Blackwood,3
Joyce Maynard,3
Melody Anne,3
Clive Cussler and Russell Blake,3
Clive Cussler and Boyd Morrison,3
B A Paris,3
Kelley R Martin,3
Paulo Coelho,3
Mary Kubica,3
Sue Grafton,3
Alex Berenson,3
Jude Deveraux,3
Catherine Coulter and J T Ellison,3
Laura Kaye,3
Kay Hooper,3
Victoria Ashley,3
Kathleen Brooks,3
Jayne Castle,3
Iris Johansen and Roy Johansen,3
Karen Kingsbury,3
Eloisa James,3
Steve Martini,3
Linda Fairstein,3
Deborah Harkness,3
Clive Cussler and Justin Scott,3
Faith Hunter,2
Gena Showalter,2
James Lee Burke,2
Tami Hoag,2
Janet Evanovich and Phoef Sutton,2
Julia Quinn,2
John Lescroart,2
Alan Furst,2
Julie James,2
Cherise Sinclair,2
Joe Hill,2
Donna Leon,2
LA Casey,2
Brent Weeks,2
Kat Martin,2
Carl Hiaasen,2
S E Smith,2
Diane Mott Davidson,2
Linda Howard,2
Karen Marie Moning,2
Anthony Ryan,2
Kathy Reichs,2
Kevin Hearne,2
Kelly Elliott,2
Emma Chase,2
Shayla Black and Lexi Blake,2
Pepper Winters,2
Clive Cussler and Graham Brown,2
Blake Crouch,2
Jonathan Tropper,2
Alan Dean Foster,2
Penelope Douglas,2
Anne Hillerman,2
Milly Taiden,2
Clive Cussler,2
Rebecca Zanetti,2
Kim Harrison,2
Jan Karon,2
Whitney Gracia Williams,2
Whitney G,2
Allison Pataki,2
Stephenie Meyer,2
Ernest Cline,2
Jeaniene Frost,2
James Patterson with Max DiLallo,2
Charlaine Harris,2
Susan Elizabeth Phillips,2
Rob Thomas and Jennifer Graham,2
Justin Cronin,2
Richard Castle,2
Kristan Higgins,2
Lisa Van Allen,2
Jasinda Wilder,2
Lora Leigh,2
Anne Bishop,2
Skye Eagleday,2
Jaci Burton,2
Zane,2
P D James,2
Jacqueline Winspear,2
Sarah Addison Allen,2
Claire Contreras,2
Richard Paul Evans,2
Robert Crais,2
Anita Diamant,2
Ian McEwan,2
Sarah MacLean,2
S J Watson,2
Lisa Kleypas,2
Alexander McCall Smith,2
VC Andrews,2
Helen Cooper,2
Haruki Murakami,1
Michael Lister,1
Sandi Lynn,1
Liz Trenow,1
Amy Tan,1
Joseph Finder,1
Maggie O'Farrell,1
Haleigh Lovell,1
Diane Chamberlain,1
Anne Rice,1
Claudia Gray,1
Lori Nelson Spielman,1
Grace Burrowes,1
JR Ward,1
Gennita Low,1
Matthew Thomas,1
Claire Ash,1
Jennifer Ryan,1
Joanne DeMaio,1
Helen Simonson,1
Maeve Binchy,1
Georgette Heyer,1
Kevin O'Brien,1
Anne McCaffrey,1
James Rollins and Rebecca Cantrell,1
Francine Rivers,1
Neal Stephenson,1
Alexa Riley,1
Elle James,1
Jillian Hart and Janet Tronstad,1
Barbara Kingsolver,1
Charles Belfoure,1
Lara Adrian,1
KM Scott,1
Aleatha Romig and others,1
Mary Alice Monroe,1
Lauren Groff,1
Paul Beatty,1
Jasmine Walt,1
Tessa Bailey,1
B A Shapiro,1
Deborah Crombie,1
Laura Lippman,1
Lisa O'Donnell,1
Raine Miller,1
Tessa Dare,1
Bryn Greenwood,1
Sara Paretsky,1
Sophie Kinsella,1
Nancy Thayer,1
Terry Goodkind,1
Rachel Joyce,1
Maria Semple,1
Crista McHugh,1
Stephanie Dray and Laura Kamoie,1
"Bella Andre, Barbara Freethy and others",1
Jean Brashear,1
"JS Scott, M Malone and others",1
"Raine Miller, Cathryn Fox and others",1
Paula McLain,1
Eva Natiello,1
Violet Duke,1
Anthony Horowitz,1
Erica Ridley,1
J D Robb and others,1
James Patterson with Michael Ledwidge,1
Claire Cook,1
Sarah Waters,1
Rachel Harris,1
David Mitchell,1
Marisa De Los Santos,1
Chanda Hahn,1
Emma Donoghue,1
Molly McAdams,1
Brad Meltzer,1
Adriana Trigiani,1
Brenda Jackson,1
Emily Colin,1
edited  David Baldacci,1
Michael Ponsor,1
Vivian Arend and others,1
Noah Boyd,1
Kaylee Ryan,1
Annie Barrows,1
Alice Hoffman,1
James Rollins and Grant Blackwood,1
Naomi Wood,1
Cynthia Swanson,1
Helene Wecker,1
Cristin Harber and others,1
J S Scott and others,1
"Christine Feehan, Maggie Shayne and Lori Herter",1
Julie Garwood,1
Peter V Brett,1
Olivia Noble,1
Mitch Albom,1
Clive Cussler and Dirk Cussler,1
Yaa Gyasi,1
"Bella Andre, Melissa Foster and others",1
Claudia Connor,1
Emma Jameson,1
Sheila Connolly,1
Julia Kent,1
Elizabeth Cobbs,1
Ruth Cardello,1
Olen Steinhauer,1
Leylah Attar,1
Kate Atkinson,1
SL Jennings,1
PT Michelle,1
Curtis Sittenfeld,1
Jess Walter,1
"Mandy M Roth, Michelle M Pillow and others",1
Kathleen Grissom,1
Jo Nesbo,1
Lene Kaaberbol,1
Jenny Colgan,1
James Donovan,1
Jana DeLeon,1
Tina Leonard,1
Lorelei James,1
Ted Bell,1
Geneva Lee,1
Gabrielle Zevin,1
Sydney Landon,1
Clare Mackintosh,1
Kristen Callihan,1
"Diane Capri, J Carson Black and others",1
Jasmine Walt and Rebecca Hamilton,1
Lauren Layne,1
Mark Gimenez,1
WEB Griffin and William E Butterworth,1
Sara Gruen,1
Brad Meltzer and Tod Goldberg,1
Kimberly McCreight,1
J A Huss,1
Allison Brennan,1
Mary Ann Shaffer and Annie Barrows,1
SL Scott,1
Anna Zaires and Dima Zales,1
Stacy Borel,1
Linda Castillo,1
Anne Rivers Siddons,1
James S A Corey,1
Yangsze Choo,1
Tara Conklin,1
J Sterling,1
Dennis Lehane,1
Gregg Olsen,1
Jane Smiley,1
RaeAnne Thayne,1
Tim Johnston,1
Elizabeth George,1
Melanie Benjamin,1
Ginny Baird,1
Bryan Reardon,1
C D Reiss,1
Lisa Jewell,1
Michelle Gable,1
Alan Bradley,1
Raymond Benson,1
Jessica Wood,1
Stephanie Laurens,1
Melanie Moreland,1
Katy Regnery,1
Stuart Woods and Parnell Hall,1
"Delilah Devlin, Sharon Hamilton and others",1
James Patterson with Maxine Paetro,1
James Patterson with Richard DiLallo,1
Cristin Harber,1
James Patterson and Peter De Jonge,1
Mia Sheridan,1
Dan Brown,1
Elle James and others,1
Jeanne Glidewell,1
Louise Erdrich,1
Bernard Cornwell,1
Jonathan Kellerman and Jesse Kellerman,1
PD James,1
G A Aiken,1
Ellery Adams,1
Tawny Weber,1
Kate Moretti,1
Kristina McMorris,1
Opal Carew and others,1
Jean Hanff Korelitz,1
Victoria Hislop,1
Hallie Ephron,1
Jackie Collins,1
Mina Carter and others,1
Kathryn Shay,1
J Courtney Sullivan,1
Marc Cameron,1
Chris Cleave,1
JS Cooper,1
Max Monroe,1
Joel C Rosenberg,1
Clive Cussler and Robin Burcell,1
Kate Morton,1
Rachel Van Dyken,1
Patrick Rothfuss,1
Chuck Wendig,1
JB Salsbury,1
Neil Gaiman,1
Faye Kellerman,1
Julie Cross and others,1
Michael Crichton and Richard Preston,1
Wendy Lindstrom,1
John Sandford and Ctein,1
Kim van Alkemade,1
Max Lucado,1
Elizabeth Lowell,1
Angela Graham,1
Cora Seton and others,1
Tony Hillerman,1
S C Stephens,1
Wiley Cash,1
John Jakes,1
Darcie Chan,1
